+-------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| COUNT |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  | METHOD |                                                                                           URI                                                                                           |
|     1 | 0.938 | 0.938 |   0.938 | 0.938 | 0.938 | 0.938 | 0.938 |  0.000 |   5841.000 |   5841.000 |     5841.000 |   5841.000 | GET    | /keyword/%E5%8C%97%E6%B5%B7%E9%81%93%E9%81%93276%E5%8F%B7%E7%90%B4%E4%BC%BC%E5%81%9C%E8%BB%8A%E5%A0%B4%E7%B7%9A                                                                         |
|     1 | 0.921 | 0.921 |   0.921 | 0.921 | 0.921 | 0.921 | 0.921 |  0.000 |  10190.000 |  10190.000 |    10190.000 |  10190.000 | GET    | /keyword/%E3%83%AD%E3%83%99%E3%83%AB%E3%83%88%E3%83%BB%E3%82%B3%E3%83%83%E3%83%9B                                                                                                       |
|     2 | 0.241 | 0.678 |   0.919 | 0.460 | 0.241 | 0.241 | 0.241 |  0.219 |   7876.000 |   7961.000 |    15837.000 |   7918.500 | GET    | /keyword/%E6%9F%B3%E4%BA%95%E6%B8%AF%E9%A7%85                                                                                                                                           |
|     2 | 0.154 | 0.764 |   0.918 | 0.459 | 0.154 | 0.154 | 0.154 |  0.305 |   3637.000 |   3637.000 |     7274.000 |   3637.000 | GET    | /keyword/%E9%9E%8D%E6%8E%9B%E5%B1%B1                                                                                                                                                    |
|     2 | 0.335 | 0.577 |   0.912 | 0.456 | 0.335 | 0.335 | 0.335 |  0.121 |   7179.000 |   7179.000 |    14358.000 |   7179.000 | GET    | /keyword/%E9%AB%98%E5%B1%B1%E5%8F%8B%E7%85%A7                                                                                                                                           |
|     2 | 0.220 | 0.683 |   0.903 | 0.452 | 0.220 | 0.220 | 0.220 |  0.232 |   7876.000 |   7876.000 |    15752.000 |   7876.000 | GET    | /keyword/%E7%94%A8%E5%9C%B0%E8%B2%B7%E5%8F%8E                                                                                                                                           |
|     1 | 0.902 | 0.902 |   0.902 | 0.902 | 0.902 | 0.902 | 0.902 |  0.000 |     25.000 |     25.000 |       25.000 |     25.000 | POST   | /stars?user=hoto&keyword=G15                                                                                                                                                            |
|     1 | 0.901 | 0.901 |   0.901 | 0.901 | 0.901 | 0.901 | 0.901 |  0.000 |   7972.000 |   7972.000 |     7972.000 |   7972.000 | GET    | /keyword/%E7%A6%8F%E5%B1%85%E9%A7%85                                                                                                                                                    |
|     1 | 0.895 | 0.895 |   0.895 | 0.895 | 0.895 | 0.895 | 0.895 |  0.000 |   8891.000 |   8891.000 |     8891.000 |   8891.000 | GET    | /keyword/%E4%B8%B9%E6%B3%A2%E7%AB%B9%E7%94%B0%E9%A7%85                                                                                                                                  |
|     2 | 0.429 | 0.461 |   0.890 | 0.445 | 0.429 | 0.429 | 0.429 |  0.016 |   5306.000 |   5306.000 |    10612.000 |   5306.000 | GET    | /keyword/%E7%A9%BA%E5%8D%B0%E5%AF%BA                                                                                                                                                    |
|     2 | 0.264 | 0.625 |   0.889 | 0.445 | 0.264 | 0.264 | 0.264 |  0.180 |   2952.000 |   2952.000 |     5904.000 |   2952.000 | GET    | /keyword/%E5%85%AB%E7%94%B0%E5%B0%8F%E5%AD%A6%E6%A0%A1                                                                                                                                  |
|     1 | 0.875 | 0.875 |   0.875 | 0.875 | 0.875 | 0.875 | 0.875 |  0.000 |   6824.000 |   6824.000 |     6824.000 |   6824.000 | GET    | /keyword/%E3%83%9E%E3%83%AA%E3%83%A4%E3%83%BB%E3%83%A6%E3%83%BC%E3%83%87%E3%82%A3%E3%83%8A                                                                                              |
|     1 | 0.866 | 0.866 |   0.866 | 0.866 | 0.866 | 0.866 | 0.866 |  0.000 |    335.000 |    335.000 |      335.000 |    335.000 | POST   | /stars?user=dmaki&keyword=%E3%83%A2%E3%83%87%E3%83%A0                                                                                                                                   |
|     1 | 0.858 | 0.858 |   0.858 | 0.858 | 0.858 | 0.858 | 0.858 |  0.000 |     25.000 |     25.000 |       25.000 |     25.000 | POST   | /stars?user=naoyat&keyword=775%E5%B9%B4                                                                                                                                                 |
